Actor1Name,Action_menée,Actor2Name,ActionGeo_Fullname,SQLDATE,Sentiment,Type_Evènement,Impact_Evènement
GOVERNOR,Nier la responsabilité,BENIN,Benin,20250101,Négatif,Coopération verbale,Evènement déstabilisant
BENIN,Protester (non spécifié),NIGER,Benin,20250101,Négatif,Conflit verbal,Evènement très déstabilisant
NIGERIEN,Recevoir une visite officielle,BENIN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENINESE,Effectuer une visite officielle,NIGERIEN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
NIGERIEN,Recevoir une visite officielle,BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
GOVERNOR,Nier la responsabilité,Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement déstabilisant
BENINESE,Réprimander ou blâmer,NIGERIEN,Benin,20250101,Négatif,Conflit verbal,Evènement déstabilisant
BENIN,Effectuer une visite officielle,NIGERIEN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
MINISTRY,Fournir une aide économique,NATIONAL ASSEMBLY,Benin,20250101,Négatif,Coopération matérielle,Evènement très stabilisant
OPERATIVE,Assaut (non spécifié),Inconnu,Benin,20250101,Négatif,Conflit matériel,Evènement très déstabilisant
BENIN,Effectuer une visite officielle,NIGERIEN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENINESE,Réprimander ou blâmer,NIGERIEN,Benin,20250101,Négatif,Conflit verbal,Evènement déstabilisant
NIGERIEN,Recevoir une visite officielle,BENIN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENINESE,Effectuer une visite officielle,NIGERIEN,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
POLICE,Torturer,KIDNAPPER,Benin,20250101,Négatif,Conflit matériel,Evènement très déstabilisant
NIGERIEN,Recevoir une visite officielle,BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
SPOKESMAN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Consulter (non spécifié),NIGER,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
SENATOR,Enquêter (non spécifié),Inconnu,Benin,20250101,Positif,Coopération matérielle,Evènement déstabilisant
NIGERIA,Faire un appel ou une demande (non spécifié ailleurs),Inconnu,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
GOVERNANCE,Escarmouches frontalières,Inconnu,Benin,20250101,Négatif,Conflit matériel,Evènement très déstabilisant
TANZANIA,Rejeter une demande de médiation,Inconnu,Benin,20250101,Négatif,Conflit verbal,Evènement très déstabilisant
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
DIPLOMAT,Consulter (non spécifié),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),BENIN,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
DIPLOMAT,Consulter (non spécifié),BENINESE,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Louer ou approuver,Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement stabilisant
BENIN,Manifester ou protester (civil),BENIN,Benin,20250101,Négatif,Conflit verbal,Evènement très déstabilisant
BENIN,Faire une déclaration publique (non spécifié ailleurs),Inconnu,Benin,20250101,Négatif,Coopération verbale,Evènement impartial
BENIN,Désapprouver (non spécifié),ADMINISTRATION,Benin,20250101,Positif,Conflit verbal,Evènement déstabilisant
GOVERNOR,Louer ou approuver,BENIN,Benin,20250101,Positif,Coopération verbale,Evènement stabilisant
