SQLDATE,MentionTimeDate,GlobalEventID,Actor1Name,Actor2Name,EventCode,QuadClass,GoldsteinScale,AvgTone,ActionGeo_Fullname,MentionDocTone,Confidence,V2Organizations,V2Tone,MentionSourceName,SOURCEURL
20250101,20250101003000,1218370422,GOVERNOR,BENIN,016,1,-2.0,-12.206572769953,Benin,-12.206572769953,20,"House Of Assembly,528;House Of Assembly,1542;Peoples Democratic Party,28;Caretaker Committee,293","-11.6822429906542,1.86915887850467,13.5514018691589,15.4205607476636,18.2242990654206,0.467289719626168,402",punchng.com,https://punchng.com/pdp-seeks-igs-intervention-in-edo-lg-crisis/
20250101,20250101003000,1218370056,BENIN,NIGER,140,3,-6.5,-5.58139534883721,Benin,-5.58139534883721,100,Inconnu,"-5.14018691588785,2.33644859813084,7.47663551401869,9.81308411214953,17.7570093457944,0.467289719626168,200",guardian.ng,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,20250101003000,1218370660,NIGERIEN,BENIN,043,1,2.8,-5.58139534883721,Benin,-5.58139534883721,20,Inconnu,"-5.14018691588785,2.33644859813084,7.47663551401869,9.81308411214953,17.7570093457944,0.467289719626168,200",guardian.ng,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,20250101003000,1218370058,BENINESE,NIGERIEN,042,1,1.9,-5.58139534883721,Benin,-5.58139534883721,80,Inconnu,"-5.14018691588785,2.33644859813084,7.47663551401869,9.81308411214953,17.7570093457944,0.467289719626168,200",guardian.ng,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,20250101003000,1218370051,BENIN,Inconnu,020,1,3.0,-12.206572769953,Benin,-12.206572769953,100,"House Of Assembly,528;House Of Assembly,1542;Peoples Democratic Party,28;Caretaker Committee,293","-11.6822429906542,1.86915887850467,13.5514018691589,15.4205607476636,18.2242990654206,0.467289719626168,402",punchng.com,https://punchng.com/pdp-seeks-igs-intervention-in-edo-lg-crisis/
20250101,20250101003000,1218370661,NIGERIEN,BENINESE,043,1,2.8,-5.58139534883721,Benin,-5.58139534883721,80,Inconnu,"-5.14018691588785,2.33644859813084,7.47663551401869,9.81308411214953,17.7570093457944,0.467289719626168,200",guardian.ng,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,20250101003000,1218370395,GOVERNOR,Inconnu,016,1,-2.0,-12.206572769953,Benin,-12.206572769953,30,"House Of Assembly,528;House Of Assembly,1542;Peoples Democratic Party,28;Caretaker Committee,293","-11.6822429906542,1.86915887850467,13.5514018691589,15.4205607476636,18.2242990654206,0.467289719626168,402",punchng.com,https://punchng.com/pdp-seeks-igs-intervention-in-edo-lg-crisis/
20250101,20250101003000,1218370054,BENINESE,NIGERIEN,114,3,-2.0,-5.58139534883721,Benin,-5.58139534883721,20,Inconnu,"-5.14018691588785,2.33644859813084,7.47663551401869,9.81308411214953,17.7570093457944,0.467289719626168,200",guardian.ng,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,20250101003000,1218370053,BENIN,NIGERIEN,042,1,1.9,-5.58139534883721,Benin,-5.58139534883721,20,Inconnu,"-5.14018691588785,2.33644859813084,7.47663551401869,9.81308411214953,17.7570093457944,0.467289719626168,200",guardian.ng,https://guardian.ng/news/benin-protests-remarks-by-niger-junta-chief/
20250101,20250101003000,1218370443,MINISTRY,NATIONAL ASSEMBLY,071,2,7.4,-0.59435364041604,Benin,-0.59435364041604,40,"National Assembly,2995;Ministry Of Works,29","-0.599700149925037,1.19940029985008,1.79910044977511,2.99850074962519,15.4422788605697,0.599700149925038,625",punchng.com,https://punchng.com/fg-votes-n365bn-for-new-road-projects/
